"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 20.723990019884 8.65165322343942 34.5680544263512 1.39709413078062
"B2" 29.5082290917765 8.13874111457985 11.8134158079584 28.4434970759857
"B3" 0 23.4110974525734 12.2610588887895 7.31902888756297
"B4" 15.4255128038125 36.8593539047557 19.9746624118255 9.17662254161229
"B5" 14.9216260628544 10.1914200308571 50.7295865112671 16.9851840159052
"B6" 49.6814226244787 15.9552628410161 100 6.01633519895872
"B7" 32.4886050146278 11.8547539507403 23.6601396467087 29.1851196047672
