"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 79.608602260005 51.5447616586588 88.7020075112417 25.81348396592
"B2" 37.1456920266326 47.1693519985734 81.9382388573504 51.372977369666
"B3" 15.2639545212285 25.9805665535158 57.1152687650281 0
"B4" 33.0732776789205 35.2617829732989 59.4622618751369 8.56242660193445
"B5" 82.7627682417327 80.7483899738244 96.7023496811449 8.37733898986505
"B6" 42.8935001592135 45.8431271024684 74.0145982347856 0.578824708550617
"B7" 55.5135510199208 99.6001170044839 100 65.7120482088283
