"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 35.7191903551587 3.22907460404604 28.713138332082 10.2505968092764
"B2" 18.1908027445176 10.2000498776101 17.9879419522813 49.8699370373096
"B3" 2.44735932167752 29.5730687162777 20.2297984236199 4.92410642649722
"B4" 20.4319658203281 31.6316777482213 31.1792917702619 0
"B5" 29.0413102437074 35.8307752393926 52.9139195058526 6.69818423606677
"B6" 90.5772385617806 31.0044102738043 100 4.51661964741161
"B7" 45.9514380191502 21.3487859385723 64.9918710878949 11.1815623196973
