"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 52.5451463979935 17.0045857486971 51.6514045339602 0
"B2" 21.4762889306553 18.9309171912761 32.801467314482 33.8919955536328
"B3" 11.8156310090576 42.9152518539337 25.2125705289809 0.0578215378184447
"B4" 24.9005370872182 24.4095537103225 37.102590753307 5.7901851706771
"B5" 38.2891256264854 30.9966386732095 100 56.9789579794736
"B6" 68.3914590276777 19.2215414544672 99.3611845092038 8.52917685233929
"B7" 49.5495915898999 16.9479095185187 52.2616199274139 82.5758528964138
