"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 37.7161613292058 14.211915767241 74.1964015722075 13.9178524708843
"B2" 28.920432323986 24.7387837921641 37.99376781927 48.2153694620194
"B3" 29.311078944308 14.0310194348817 41.415513239594 12.4245670941593
"B4" 43.0819589712233 42.9863339929581 36.3904525742695 16.4902320636725
"B5" 66.6205651609633 51.0883343297613 60.682825430706 9.59176397397883
"B6" 43.5575748906228 20.1029833840276 100 0
"B7" 42.6368849912046 41.2984961220612 31.5607692259791 81.9605377563237
