"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 37.4441679167407 33.8009943416386 72.0889486518572 4.77849452270433
"B2" 16.2661149521814 22.5161355113648 51.0828876550751 37.2141421875991
"B3" 22.278388218607 90.1337208402292 78.7606108877202 0
"B4" 23.8243496416865 30.8625421641874 39.0645663680503 3.44436875029263
"B5" 40.1513662612809 27.2329547609114 100 36.4523641688281
"B6" 82.0830461795102 40.4997859496524 35.2465477513418 4.77117096622794
"B7" 35.4378095344426 34.6179620297067 45.2186356005819 81.4093571689318
