"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 65.3107201579777 42.1269195088791 99.9637014973483 26.6024439458095
"B2" 75.2790382964269 38.600791323418 60.725685510743 98.0033188197975
"B3" 40.7110675659428 21.6482631474526 72.4449535233025 17.9127115332941
"B4" 40.1558601302884 42.1016864935689 76.1623890226635 16.2050892818771
"B5" 91.2315666495544 71.9104368993293 100 23.8809096435937
"B6" 62.1105801166755 51.5131362901652 77.4231412419842 0
"B7" 80.5345884373182 91.0972800223595 84.8805405659994 46.5077460315949
