"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 53.0554129364996 35.9549916699152 57.200465269228 0
"B2" 23.5607538747268 32.8678529633343 45.3678953062433 54.7408610306027
"B3" 8.96321910687899 85.3264944849007 98.0647627275697 1.25046199742162
"B4" 23.6759617329265 48.0894049648335 54.8914261861247 9.91844608342958
"B5" 33.8382409197185 14.5862089518358 87.1304433547359 12.2334098331063
"B6" 100 48.9353163006815 65.6228331962897 4.73162941681495
"B7" 42.9270809911452 33.68945733713 46.8218297823091 76.5936352376329
