"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 52.2192419428769 28.6256209148622 51.7548866947125 9.48203946477859
"B2" 33.0271843205366 28.6514106659174 42.7780416518593 60.0517193203015
"B3" 26.525390174753 81.1243261855165 45.3604768788831 14.7399130936807
"B4" 32.0761495972296 32.1661889664339 32.7808998524747 5.45359249184416
"B5" 46.6585364563116 54.8732198432864 80.1804005717312 15.9254857986727
"B6" 100 49.4761370805509 55.3172752642099 0
"B7" 43.6586113478804 32.9653912945359 51.5380938669408 34.9666952616604
