"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 100 18.3550495200814 43.53081966392 3.35607650071843
"B2" 41.3224112236492 10.6472788411661 31.606631735408 57.3577279162298
"B3" 0 31.4415568773437 27.113589746683 7.59879678561274
"B4" 21.6427151755384 71.1649238112049 32.9140093568342 19.169909537437
"B5" 12.8527960448938 38.4894083082101 51.5389105521067 35.7642884915733
"B6" 57.0168853498867 14.2480578418487 97.570745781955 9.0548883520669
"B7" 43.1897919081163 22.0505923360314 58.4498095705828 18.2382428073225
