"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 40.7225065105583 4.23854383803966 28.1577588180393 13.9655333169793
"B2" 23.1109290968862 18.3038588051494 10.6209248991784 86.1564671932587
"B3" 5.67459033894748 37.7551149490541 2.73510520997172 19.9153358963888
"B4" 30.8646255532965 62.7634249389686 32.9331630991462 3.41210794561225
"B5" 19.1989162390806 24.3868498395271 40.3249192811456 0
"B6" 90.0182307504264 48.5565790667076 100 19.0112529682634
"B7" 51.208897481468 16.9229668098707 88.2132526756049 9.67949924931248
