"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 67.5386410788562 18.2680861499582 79.1780614797215 10.004891889207
"B2" 36.5239876561087 34.6332454292456 52.3161219515254 57.173353119225
"B3" 16.3806707863801 74.4371146488887 35.1503958033781 8.22343287070909
"B4" 37.4084550898043 67.3663675869631 52.1272629663655 5.27857357821801
"B5" 29.2132305220553 48.683287662172 71.4515843909471 44.2004855569598
"B6" 100 56.4793292110647 95.2645291622924 0
"B7" 59.7301588481174 45.3287516526776 67.6266587937298 27.3560589894145
