"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 31.1101153439219 6.54184201008731 43.4067276978637 24.9845095693819
"B2" 72.7149402434471 33.2894246262256 39.2483150796487 95.2565842237142
"B3" 32.3534814792401 53.0356251427099 33.4658198309458 37.6697770552981
"B4" 19.691154947966 58.4624447198587 32.2850105705964 29.00473753891
"B5" 53.6620458534205 78.2826608786251 100 51.7719592091679
"B6" 85.9068693647971 5.64004673150151 59.6237210631783 0
"B7" 39.8813354657593 22.250251924947 29.1844248653703 37.1780917698955
