"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 39.7536974509945 10.1818240466102 48.5817463246488 16.7478466809249
"B2" 32.1846708016076 28.0186158970018 30.1799170687411 71.5671618475475
"B3" 44.6023568509355 16.3540485039414 27.8657092544163 34.3235810246954
"B4" 29.6330210678574 33.6188878999292 32.6480501182631 12.1344520056841
"B5" 76.9243875531478 70.4915667290944 67.6556596613231 0
"B6" 51.1905840540019 21.1401068607129 100 30.3758869044989
"B7" 58.7364151186904 35.4189911879 72.012215149873 41.251315287107
