"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 34.9566631007882 18.4005644825152 42.522855802094 39.9370526406004
"B2" 33.8129471215216 32.4182884037031 23.7949796905964 94.8509923541783
"B3" 39.2262952219893 14.6745320634679 17.8597386592691 31.675523116612
"B4" 26.8851063994612 42.9464074520923 20.8197623397292 15.5882406357558
"B5" 76.733338723275 61.3741920516 37.3835128017445 0
"B6" 47.5060112456953 21.4135197194008 100 41.990863652784
"B7" 42.6394102587355 15.8123124831166 54.6143885977911 34.0534503638463
