"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 40.0139553127384 5.52967755171922 53.4495190751612 8.92719855088314
"B2" 25.6715845654874 15.5306186425504 10.6865179086427 71.2566279460638
"B3" 17.9595223452555 37.2535631710294 18.6751411627065 24.5976507982077
"B4" 50.7894868867494 92.9148442427567 45.0428941093984 19.9781060122602
"B5" 37.7183016534485 29.9487971088511 96.3419499619797 43.2101975923855
"B6" 100 44.8590761705411 83.3034370524181 0
"B7" 77.0996951954988 28.1178927203881 58.2468566044049 36.6998222561911
