"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 63.3561768622186 32.973880668279 76.5800846546032 10.5278214571275
"B2" 41.3148976332016 18.9592297279786 58.4377754307189 57.795622098049
"B3" 13.0453015565082 43.4662569985982 44.7368597896174 0
"B4" 45.7758622430826 36.5929348209583 90.3888944135144 4.31692993973359
"B5" 51.4040157313468 74.4565030664389 92.7728558770874 64.0717669004731
"B6" 100 37.2393137328461 83.3403364222284 4.95402380914468
"B7" 85.3561492639401 62.7694765869451 80.3735780370905 65.1474531482985
