"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 26.870151741059 0 30.4256105015797 16.9052048309885
"B2" 27.0164162070734 16.5865387962875 16.140523633014 79.2260117411989
"B3" 36.4919893108851 22.2966300138868 28.9736530824868 32.4256908291106
"B4" 25.8289154272001 47.2503629610187 19.6560406849846 7.53009078024549
"B5" 74.9913111161554 69.6135884045967 47.6890813194359 0.774403033831933
"B6" 37.523907624275 10.4693607968293 100 18.0069657717687
"B7" 21.7991089103891 17.3976550792873 59.6702674088081 22.5840554423169
