"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 37.0822339158319 28.3247016493712 78.0864222516659 10.2746682284469
"B2" 17.5475118997119 24.2920948483968 48.6146912902732 61.0122588423289
"B3" 16.7445552993718 16.5018837020829 43.8969839688755 3.39589821552645
"B4" 19.6088751833322 41.527018595688 43.6344360370204 15.3340555419489
"B5" 88.9335874094828 78.5465558229553 76.7743951359205 12.2444373334887
"B6" 53.748416567643 26.3092818907274 83.7023581170973 0
"B7" 22.8180776138781 51.4311370664888 39.9991137217102 100
