"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 67.3409416490649 34.9319262139583 61.4250866191782 0
"B2" 26.6236595879325 33.2625912053388 46.8241122704133 42.9126678989195
"B3" 20.161528033622 77.2405948482193 100 5.69174137198732
"B4" 31.8216949774799 55.0937979527066 54.6957071462254 8.51568679098601
"B5" 32.2141833477159 10.9204191703829 88.8308359763499 19.8768554488836
"B6" 89.3297902830794 43.7432676969125 46.2191951136594 0.905040733019901
"B7" 53.6129542307667 37.2503159475025 32.2721163789529 95.7088459770245
