"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 46.0566560557367 7.59986786492719 40.2784961311408 11.6162553594076
"B2" 44.4865947018235 18.3852058857533 38.7884154127478 53.439191936241
"B3" 61.6737226835887 50.6071878492909 100 3.67623590008524
"B4" 38.8626979657322 37.97623184915 41.2330494752026 7.10475788643359
"B5" 58.9328621373275 56.9560047155712 34.4362570954805 14.7204337435065
"B6" 54.3416258286963 23.2732211445904 32.8359011775336 0
"B7" 40.4631858413833 25.6125671269192 47.4749224708785 42.1482576280307
