"1","2","3","4"
"1","1","1","1"
"22.8394362339429","0","35.8535962755289","3.59684704589219"
"21.6551412644864","29.7909209656865","45.6465824526591","11.6174953422681"
"100","10.7393381096452","48.2069312942472","12.4594776218231"
"2","2","2","2"
"32.2064921894257","13.8356182405507","22.8511656787961","45.6230173608609"
"5.70789288827045","9.03956152703059","58.9395070184887","0"
"100","58.0925809547231","82.5462076006646","45.9090251237976"
"3","3","3","3"
"62.5139314576852","14.5617823978074","27.1299608380767","40.0575516547363"
"3.09798958264023","12.4709099322353","45.1291034092563","0"
"100","55.6812140762546","47.5199052909579","22.4282463404927"
