"importance.1" "importance.2" "importance.3" "importance.4"
"B1" 42.9565535716094 1.08131279289469 19.2606947830621 34.1409659350696
"B2" 23.9178053457097 11.951292667145 6.33000661407856 67.0566908779726
"B3" 4.3841795389125 43.0705706160549 5.92552094556319 11.0167156323404
"B4" 25.0802878069839 46.8536791592666 24.9282288145321 0
"B5" 19.1663657894603 30.7404401691805 29.2028755018739 13.940239553712
"B6" 70.6379817307907 47.8093381828495 66.7734773135908 10.6463371908974
"B7" 54.6301140515564 38.706514754964 100 7.77594225161268
